X,Y
235108.4809,600207.7631
235113.889,600199.8804
235119.0642,600193.3195
235130.4628,600179.7616
235134.7471,600174.8861
235142.706,600166.9991
235155.6435,600154.9633
235161.4671,600149.8791
235169.4659,600143.7626
235188.1086,600130.5245
235188.1068,600137.3969
235188.1055,600162.3652
235188.1046,600187.4037
235188.1033,600212.3624
235188.1025,600237.4006
235188.1012,600262.359
235188.1103,600287.3976
235188.109,600312.3659
235188.1082,600337.4044
235188.1068,600362.3629
235188.1061,600387.4014
235163.1063,600412.3586
235163.1055,600437.407
235163.1042,600462.3656
235163.1033,600487.404
235163.1021,600512.3625
235138.1027,600537.3999
235138.1014,600562.3584
235138.1106,600587.4067
235138.1093,600612.3652
235113.11,600637.4026
235113.1087,600662.361
235113.1079,600687.3995
235088.1082,600712.3668
235088.1073,600737.4054
235088.1061,600762.3638
235088.1052,600787.4023
235088.1039,600812.3608
235088.103,600837.3992
235063.1034,600862.3666
235063.1025,600887.4051
235063.1012,600912.3636
235063.1104,600937.402
235063.1091,600962.3605
235038.1098,600987.4079
235013.1101,601012.3653
235013.1092,601037.4038
234988.1095,601062.3613
234988.1086,601087.3998
234988.1074,601112.3682
234988.1065,601137.4068
234988.1053,601162.3653
234988.1044,601187.4038
234988.1032,601212.3623
234988.1023,601237.4007
234988.1011,601262.3592
234963.1018,601287.4067
234963.1105,601312.3651
234963.1097,601317.6068
234988.7448,601336.7609
235005.0433,601349.8848
235014.8464,601360.6438
235030.2309,601374.8833
235041.4854,601384.0039
235050.6072,601390.9655
235068.1026,601399.8812
235075.6056,601403.5608
235091.9487,601408.5216
235100.6069,601411.2445
235125.6107,601414.0063
235150.6087,601412.1267
235160.9215,601410.1987
235167.7105,601407.8003
235175.6021,601405.8058
235184.4622,601399.8845
235194.8637,601394.1247
235200.6065,601390.6815
235209.2899,601383.5609
235218.8449,601374.8848
235225.6025,601368.6451
235234.0682,601358.3646
235240.1832,601349.8876
235244.3499,601343.6423
235250.6102,601332.5238
235254.1089,601324.8818
235259.964,601309.2439
235262.9429,601299.8841
235265.5078,601289.8066
235268.786,601274.8832
235272.2269,601253.2468
235275.5706,601224.9587
235277.7439,601201.9988
235280.149,601179.4078
235281.3624,601169.1275
235283.8463,601149.8872
235288.4688,601124.8829
235296.042,601089.0087
235333.8829,601124.6404
235367.5829,601230.519
235379.0061,601178.2478
235381.3262,601169.1218
235383.8659,601158.1241
235386.0708,601149.879
235428.3092,601022.8711
235484.7256,600910.8597
235538.4227,600793.7316
235577.5267,600673.3436
235629.9851,600565.5256
235638.5111,600549.8829
235650.6077,600526.9579
235663.6217,600499.8866
235673.8459,600476.6419
235681.925,600456.2001
235684.3707,600449.8843
235693.1847,600424.877
235700.6021,600402.358
235716.8458,600349.8802
235725.0628,600325.4462
235734.5439,600299.885
235745.3286,600274.8866
235755.2891,600254.5644
235764.0218,600238.3203
235771.5096,600224.8842
235775.604,600218.2392
235786.5056,600199.8825
235800.6085,600177.9566
235805.7643,600169.6853
235811.5068,600160.8004
235818.3885,600149.8785
235825.6111,600139.1247
235831.0643,600130.3614
235834.385,600124.8811
235840.7826,600115.0823
235850.2038,600100.3249
235865.9275,600074.879
235875.6079,600059.9601
235879.4043,600053.677
235913.5468,599999.8791
235925.6082,599981.4059
235950.6051,599941.5637
235956.7889,599931.0857
235965.9037,599915.1997
235972.8263,599902.6369
235983.2279,599882.5224
235986.9067,599874.8794
235991.2864,599865.562
236000.6026,599844.5231
236006.2266,599830.5172
236012.9091,599812.5641
236019.5875,599793.8806
236025.6095,599775.8811
236031.8817,599756.1197
236041.3613,599724.8765
236043.5627,599717.802
236058.8635,599666.6397
236061.0086,599660.2356
236068.8424,599631.6525
236088.1017,599612.359
236088.1029,599587.4007
236088.1038,599562.3622
236088.105,599537.404
236088.1059,599512.3555
236088.1072,599487.3972
236113.1064,599462.3599
236113.1077,599437.4015
236113.1085,599412.363
236138.1082,599387.3958
236138.109,599362.3575
236138.1104,599337.3991
236138.1012,599312.3608
236163.1109,599287.4033
236163.1017,599262.3551
236163.103,599237.3967
236188.1023,599212.3596
236188.1035,599187.4011
236188.1044,599162.3627
236188.1057,599137.4045
236188.1065,599112.356
236213.1061,599087.3988
236213.107,599062.3604
236213.1084,599037.4022
236238.1075,599012.3548
236238.1089,598987.3965
236263.108,598962.3592
236263.1094,598937.4008
236263.1103,598912.3624
236263.1074,598908.2513
236281.4303,598880.6803
236285.0092,598874.8783
236291.0482,598865.3216
236300.6011,598849.083
236309.3278,598833.5594
236317.9297,598817.1961
236325.6046,598801.4383
236334.0063,598783.2356
236341.4817,598765.7582
236348.6652,598747.9623
236355.5466,598729.798
236374.9415,598675.5221
236382.2483,598656.5153
236384.9224,598649.8782
236389.6228,598638.8783
236396.0071,598624.8783
236400.6075,598615.6797
236406.0618,598605.3159
236415.0863,598589.4006
236425.6045,598572.2363
236434.9453,598559.2401
236442.0857,598549.8773
236450.6009,598539.5166
236457.782,598532.0742
236465.0645,598524.8813
236470.4473,598519.6798
236475.603,598514.9994
236484.1494,598508.4398
236495.5658,598499.8836
236508.924,598491.5565
236525.6077,598482.2408
236550.6091,598471.9984
236568.27,598467.5188
236575.6016,598465.5574
236600.603,598462.5175
236625.6051,598463.1989
236635.7471,598464.763
236650.6074,598467.5213
236672.3255,598474.883
236678.4231,598477.6801
236691.2038,598484.2413
236700.6109,598490.361
236706.1447,598494.3216
236719.3847,598506.122
236725.6048,598512.9596
236731.202,598519.3207
236741.5668,598533.9579
236750.607,598549.643
236759.202,598566.2407
236762.8212,598574.8835
236766.6621,598583.795
236770.5849,598594.8769
236773.406,598602.0836
236779.7018,598620.7548
236783.0873,598632.3598
236785.5504,598639.9588
236788.2864,598649.8769
236791.0705,598659.4344
236793.1454,598667.3955
236795.2076,598674.8768
236806.805,598718.6767
236808.3299,598724.8803
236814.731,598749.8831
236817.109,598758.3627
236820.0508,598769.32
236822.5696,598777.9589
236835.9771,598814.4864
236813.1068,598837.4012
236813.1055,598862.3595
236813.1047,598887.3978
236813.1034,598912.3562
236788.1043,598937.4034
236788.103,598962.3618
236763.1038,598987.399
236763.1026,599012.3574
236763.1017,599037.3956
236763.1104,599062.3639
236763.1096,599087.4023
236738.11,599112.3595
236738.1092,599137.3979
236738.1078,599162.3563
236713.1088,599187.4035
236713.1074,599212.3618
236713.1067,599237.4002
236688.107,599262.3574
236688.1061,599287.3959
236688.105,599312.3641
236663.1057,599337.4013
236638.1061,599362.3586
236638.1053,599387.3971
236638.1039,599412.3554
236613.1049,599437.4027
236613.1035,599462.3611
236613.1028,599487.3994
236588.1031,599512.3567
236563.1039,599537.404
236563.1027,599562.3623
236538.1035,599587.3996
236513.1038,599612.3569
236513.103,599637.3953
236513.1018,599662.3636
236488.1025,599687.401
236488.1113,599712.3593
236488.1104,599737.3976
236488.1093,599762.3561
236463.1102,599787.4034
236463.1088,599812.3617
236463.108,599837.4002
236463.1067,599862.3586
236463.1059,599887.3969
236463.1047,599912.3652
236463.1038,599937.4037
236438.1041,599962.361
236438.1035,599987.3993
236413.1038,600012.3566
236413.1029,600037.405
236413.1117,600062.3634
236413.1109,600087.4018
236413.1097,600112.3601
236388.1105,600137.3975
236388.1092,600162.366
236388.1084,600187.4043
236388.1071,600212.3627
236388.1064,600237.4011
236388.105,600262.3595
236388.1043,600287.3979
236388.103,600312.3562
236388.1022,600337.4048
236388.111,600362.3631
236363.1118,600387.4004
236363.1106,600412.3588
236338.1114,600437.4061
236338.1101,600462.3646
236313.111,600487.4021
236313.1096,600512.3603
236288.1104,600537.3979
236263.1109,600562.3651
236238.1116,600587.4024
236213.112,600612.3599
236213.1112,600637.3984
236188.1115,600662.3657
236188.1108,600687.4042
236188.1095,600712.3625
236188.1087,600737.401
236163.109,600762.3584
236138.1098,600787.4059
236113.1102,600812.3632
236088.111,600837.4006
236063.1113,600862.3581
236063.1106,600887.4065
236063.1093,600912.365
236038.11,600937.4023
236038.1088,600962.3607
236013.1096,600987.3983
236013.1084,601012.3668
236013.1076,601037.4051
236013.1064,601062.3636
236013.1056,601087.402
235988.1058,601112.3594
235963.1066,601137.407
235963.1054,601162.3652
235938.1062,601187.4028
235938.105,601212.3611
235913.1058,601237.3987
235913.1045,601262.3672
235913.1038,601287.4055
235888.104,601312.363
235863.1047,601337.4004
235863.1036,601362.3589
235838.1043,601387.4064
235838.1031,601412.3649
235838.1024,601437.4033
235838.1112,601462.3616
235838.1104,601487.4002
